Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,NRxRSRP,NRxRSRQ,ServingCell_Lon,ServingCell_Lat,ServingCell_Distance
2018.02.02_11.21.55,-8.656289,52.132759,44,A,2,LTE,-99,-11.0,4.0,6.0,-86.0,12906,305,D,-68.17554240631164,-21.06313645621181,-8.660162,52.126771,716.4
2018.02.02_11.21.56,-8.656298,52.132711,42,A,2,LTE,-99,-11.0,4.0,6.0,-86.0,12906,305,D,-68.17554240631164,-21.06313645621181,-8.660162,52.126771,711.21
2018.02.02_11.21.56,-8.656298,52.132711,42,A,2,LTE,-103,-13.0,4.0,6.0,-86.0,14248,267,D,-109.0,-19.0,-8.660162,52.126771,711.21
2018.02.02_11.21.57,-8.656298,52.132711,42,A,2,LTE,-103,-13.0,4.0,6.0,-86.0,20612,425,D,-109.0,-19.0,-8.660162,52.126771,711.21
2018.02.02_11.21.58,-8.656298,52.132711,42,A,2,LTE,-103,-13.0,4.0,6.0,-84.0,22312,412,D,-68.17554240631164,-21.06313645621181,-8.660162,52.126771,711.21
2018.02.02_11.21.59,-8.656298,52.132711,42,A,2,LTE,-103,-13.0,5.0,8.0,-80.0,22569,415,D,-68.17554240631164,-21.06313645621181,-8.660162,52.126771,711.21
2018.02.02_11.22.00,-8.656298,52.132711,42,A,2,LTE,-93,-12.0,5.0,9.0,-76.0,21305,444,D,-68.17554240631164,-21.06313645621181,-8.660162,52.126771,711.21
2018.02.02_11.22.01,-8.656298,52.132711,42,A,2,LTE,-93,-12.0,5.0,10.0,-72.0,18241,381,D,-68.17554240631164,-21.06313645621181,-8.660162,52.126771,711.21
2018.02.02_11.22.02,-8.656298,52.132711,42,A,2,LTE,-94,-9.0,7.0,9.0,-77.0,18151,338,D,-68.17554240631164,-21.06313645621181,-8.660162,52.126771,711.21
2018.02.02_11.22.04,-8.656298,52.132711,42,A,2,LTE,-94,-9.0,7.0,9.0,-68.0,18979,356,D,-68.17554240631164,-21.06313645621181,-8.660162,52.126771,711.21
2018.02.02_11.22.05,-8.656298,52.132711,42,A,2,LTE,-82,-10.0,5.0,10.0,-83.30932203389831,12850,297,D,-89.0,-12.0,-8.660162,52.126771,711.21
2018.02.02_11.22.06,-8.656298,52.132711,42,A,2,LTE,-82,-10.0,5.0,8.0,-83.30932203389831,15972,293,D,-89.0,-12.0,-8.660162,52.126771,711.21
